Round,Player1,Player2
Cycle1
Round1,Head,Tail
Round2,Head,Tail
Round3,Head,Head
Round4,Head,Tail
Round5,Tail,Tail
Round6,Head,Head
Round7,Head,Tail
Round8,Head,Tail
Round9,Head,Tail
Round10,Head,Tail
Cycle2
Round1,Head,Tail
Round2,Head,Head
Round3,Head,Tail
Round4,Head,Tail
Round5,Head,Tail
Round6,Head,Head
Round7,Tail,Head
Round8,Tail,Head
Round9,Head,Tail
Round10,Tail,Head
Cycle3
Round1,Head,Head
Round2,Tail,Head
Round3,Head,Tail
Round4,Head,Head
Round5,Tail,Head
Round6,Head,Head
Round7,Tail,Tail
Round8,Tail,Tail
Round9,Tail,Tail
Round10,Tail,Tail
